entry_id,entrytag_id,entrytag_name,entrytag_level,entrytag_path,parent_entrytag_id
23,8,Religious Group,1,Religious Group[8],
23,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
173,8,Religious Group,1,Religious Group[8],
173,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
174,8,Religious Group,1,Religious Group[8],
174,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
174,741,Hellenistic Religions,2,Religious Group[8]->Hellenistic Religions[741],8.0
174,742,Early Christianity,3,Religious Group[8]->Christian Traditions[18]->Early Christianity[742],18.0
176,8,Religious Group,1,Religious Group[8],
176,27,Jewish Traditions,2,Religious Group[8]->Jewish Traditions[27],8.0
176,743,Late Second Temple Judaism,3,Religious Group[8]->Jewish Traditions[27]->Late Second Temple Judaism[743],27.0
177,8,Religious Group,1,Religious Group[8],
177,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
177,27,Jewish Traditions,2,Religious Group[8]->Jewish Traditions[27],8.0
177,741,Hellenistic Religions,2,Religious Group[8]->Hellenistic Religions[741],8.0
177,742,Early Christianity,3,Religious Group[8]->Christian Traditions[18]->Early Christianity[742],18.0
177,743,Late Second Temple Judaism,3,Religious Group[8]->Jewish Traditions[27]->Late Second Temple Judaism[743],27.0
178,8,Religious Group,1,Religious Group[8],
178,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
178,126,Chinese Common Religions,3,Religious Group[8]->Chinese Religion[123]->Chinese Common Religions[126],123.0
178,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
180,8,Religious Group,1,Religious Group[8],
180,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
180,127,Chinese Folk Religions,3,Religious Group[8]->Chinese Religion[123]->Chinese Folk Religions[127],123.0
180,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
180,129,Shang Religion / Western Zhou Religion,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],128.0
182,8,Religious Group,1,Religious Group[8],
182,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
182,22,Greek Religions,2,Religious Group[8]->Greek Religions[22],8.0
182,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
