"entry_id","entry_tag","entrytag_id","parent_tag_id","level","path","approved"
15,Asia,2,7,2,Polity[7]->Asia[2],true
15,Polity,7,,1,Polity[7],true
23,Religious Group,8,,1,Religious Group[8],true
23,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
37,Religious Group,8,,1,Religious Group[8],true
37,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
37,Japanese Religions,26,8,2,Religious Group[8]->Japanese Religions[26],true
37,Japanese Buddhist Traditions,94,14,3,Religious Group[8]->Buddhist Traditions[14]->Japanese Buddhist Traditions[94],true
37,Japanese Buddhist Traditions,364,26,3,Religious Group[8]->Japanese Religions[26]->Japanese Buddhist Traditions[364],true
93,Religious Group,8,,1,Religious Group[8],true
93,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
93,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
96,Religious Group,8,,1,Religious Group[8],true
96,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
96,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
96,Orthodox/Eastern Christian,172,18,3,Religious Group[8]->Christian Traditions[18]->Orthodox/Eastern Christian[172],true
96,Nestorian,178,172,4,Religious Group[8]->Christian Traditions[18]->Orthodox/Eastern Christian[172]->Nestorian[178],true
96,Chinese Nestorian Traditions,244,123,3,Religious Group[8]->Chinese Religion[123]->Chinese Nestorian Traditions[244],true
129,Religious Group,8,,1,Religious Group[8],true
129,Japanese Neo-Confucianism,411,410,4,Religious Group[8]->Japanese Religions[26]->Japanese Confucianism[410]->Japanese Neo-Confucianism[411],true
137,Religious Group,8,,1,Religious Group[8],true
137,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
137,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
143,Religious Group,8,,1,Religious Group[8],true
143,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
143,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
172,Religious Group,8,,1,Religious Group[8],true
172,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
173,Religious Group,8,,1,Religious Group[8],true
173,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
174,Religious Group,8,,1,Religious Group[8],true
174,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
174,Hellenistic Religions,741,8,2,Religious Group[8]->Hellenistic Religions[741],true
174,Early Christianity,742,18,3,Religious Group[8]->Christian Traditions[18]->Early Christianity[742],true
175,Religious Group,8,,1,Religious Group[8],true
175,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
175,Hellenistic Religions,741,8,2,Religious Group[8]->Hellenistic Religions[741],true
175,Early Christianity,742,18,3,Religious Group[8]->Christian Traditions[18]->Early Christianity[742],true
176,Religious Group,8,,1,Religious Group[8],true
176,Jewish Traditions,27,8,2,Religious Group[8]->Jewish Traditions[27],true
176,Late Second Temple Judaism,743,27,3,Religious Group[8]->Jewish Traditions[27]->Late Second Temple Judaism[743],true
177,Religious Group,8,,1,Religious Group[8],true
177,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
177,Jewish Traditions,27,8,2,Religious Group[8]->Jewish Traditions[27],true
177,Hellenistic Religions,741,8,2,Religious Group[8]->Hellenistic Religions[741],true
177,Early Christianity,742,18,3,Religious Group[8]->Christian Traditions[18]->Early Christianity[742],true
177,Late Second Temple Judaism,743,27,3,Religious Group[8]->Jewish Traditions[27]->Late Second Temple Judaism[743],true
178,Religious Group,8,,1,Religious Group[8],true
178,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
178,Chinese Common Religions,126,123,3,Religious Group[8]->Chinese Religion[123]->Chinese Common Religions[126],true
178,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
180,Religious Group,8,,1,Religious Group[8],true
180,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
180,Chinese Folk Religions,127,123,3,Religious Group[8]->Chinese Religion[123]->Chinese Folk Religions[127],true
180,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
180,Shang Religion / Western Zhou Religion,129,128,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],true
181,Religious Group,8,,1,Religious Group[8],true
181,Jewish Traditions,27,8,2,Religious Group[8]->Jewish Traditions[27],true
182,Religious Group,8,,1,Religious Group[8],true
182,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
182,Greek Religions,22,8,2,Religious Group[8]->Greek Religions[22],true
182,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
182,Ancient Christianity in Rome,730,42,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],true
183,Religious Group,8,,1,Religious Group[8],true
183,Greek Religions,22,8,2,Religious Group[8]->Greek Religions[22],true
183,Jewish Traditions,27,8,2,Religious Group[8]->Jewish Traditions[27],true
183,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
183,Late Second Temple Judaism,743,27,3,Religious Group[8]->Jewish Traditions[27]->Late Second Temple Judaism[743],true
184,Religious Group,8,,1,Religious Group[8],true
184,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
184,Chinese Buddhist Traditions,65,14,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],true
184,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
185,Religious Group,8,,1,Religious Group[8],true
185,Japanese Religions,26,8,2,Religious Group[8]->Japanese Religions[26],true
185,Shintō,297,8,2,Religious Group[8]->Shintō[297],true
185,Shintō,368,26,3,Religious Group[8]->Japanese Religions[26]->Shintō[368],true
185,New Religious Movements,370,368,4,Religious Group[8]->Japanese Religions[26]->Shintō[368]->New Religious Movements[370],true
185,New Religious Movements,398,297,3,Religious Group[8]->Shintō[297]->New Religious Movements[398],true
186,Religious Group,8,,1,Religious Group[8],true
186,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
186,Chinese Buddhist Traditions,65,14,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],true
186,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
186,Chinese Buddhist Traditions,383,123,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],true
187,Religious Group,8,,1,Religious Group[8],true
187,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
187,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
187,Shang Religion / Western Zhou Religion,129,128,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],true
189,Religious Group,8,,1,Religious Group[8],true
189,Jewish Traditions,27,8,2,Religious Group[8]->Jewish Traditions[27],true
190,Religious Group,8,,1,Religious Group[8],true
190,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
191,Religious Group,8,,1,Religious Group[8],true
191,Sikhism,44,8,2,Religious Group[8]->Sikhism[44],true
192,Religious Group,8,,1,Religious Group[8],true
192,Oceanic Religions,40,8,2,Religious Group[8]->Oceanic Religions[40],true
192,Melanesia,311,40,3,Religious Group[8]->Oceanic Religions[40]->Melanesia[311],true
192,Fijian Religons,312,311,4,Religious Group[8]->Oceanic Religions[40]->Melanesia[311]->Fijian Religons[312],true
193,Religious Group,8,,1,Religious Group[8],true
193,Oceanic Religions,40,8,2,Religious Group[8]->Oceanic Religions[40],true
193,Melanesia,311,40,3,Religious Group[8]->Oceanic Religions[40]->Melanesia[311],true
193,Fijian Religons,312,311,4,Religious Group[8]->Oceanic Religions[40]->Melanesia[311]->Fijian Religons[312],true
195,Religious Group,8,,1,Religious Group[8],true
195,Hinduism,1244,8,2,Religious Group[8]->Hinduism[1244],true
195,Shaktism,1327,1244,3,Religious Group[8]->Hinduism[1244]->Shaktism[1327],true
196,Religious Group,8,,1,Religious Group[8],true
196,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
196,Greek Religions,22,8,2,Religious Group[8]->Greek Religions[22],true
