"entry_id","entry_name","poll_id","poll_name","description","year_from","year_to","region_id","expert_id","expert_name","date_created","date_modified","data_source"
23,Late Shang Religion,35,Religious Group (v5),"This entry was completed by Clayton Ashton, a Ph.D ABD student in early Chinese studies at UBC, utilizing Keightley's relevant published sources. The entry was then printed out and mailed to Keightley for his perusal and editing. Finally, Edward Slingerland visited Keightley at his home in Berkeley on August 13, 2014, discussed the entries for both Shang religion and Shang polity, and noted the edits or additions that Keightley recommended.",-1250,-1045,7,19,Clayton Ashton,2014-04-17 07:00:00.000 +0200,2017-11-17 14:55:22.535 +0100,Database of Religious History (DRH)
173,Johannine Christianity,35,Religious Group (v5),Johannine Christianity,90,120,483,138,Rikard Roitto,2014-11-27 23:05:55.000 +0100,2017-11-17 14:55:22.556 +0100,Database of Religious History (DRH)
174,Matthew-James-Didache Movement,35,Religious Group (v5),Matthew-James-Didache Movement,50,160,352,139,Vojtech Kase,2014-11-27 23:11:25.000 +0100,2017-11-17 14:55:22.558 +0100,Database of Religious History (DRH)
176,Qumran Movement,35,Religious Group (v5),Qumran Movement,-150,68,486,145,Jutta Jokiranta,2014-11-27 23:22:29.000 +0100,2017-11-17 14:55:22.561 +0100,Database of Religious History (DRH)
177,Jesus movement,35,Religious Group (v5),Jesus Movement,30,70,485,136,Risto Uro,2014-11-27 23:24:20.000 +0100,2017-11-17 14:55:22.562 +0100,Database of Religious History (DRH)
178,Ancestral Cult of the Han,35,Religious Group (v5),,-206,220,104,69,Ken Brashier,2015-01-16 23:33:23.277 +0100,2017-11-17 14:55:22.563 +0100,Database of Religious History (DRH)
180,Chinese Folk Religion,35,Religious Group (v5),,-350,200,10,18,Mu-chou Poo,2015-01-20 04:08:04.848 +0100,2017-11-17 14:55:22.564 +0100,Database of Religious History (DRH)
182,Pauline Christianity,35,Religious Group (v5),Pauline Christianity,48,56,489,146,Anders Petersen,2015-01-26 20:42:38.000 +0100,2017-11-17 14:55:22.567 +0100,Database of Religious History (DRH)
184,Chinese Buddhism (Northern Wei),35,Religious Group (v5),,386,534,7,20,Eric Greene,2015-01-30 00:54:29.944 +0100,2017-11-17 14:55:22.569 +0100,Database of Religious History (DRH)
185,Shinnyo-en,35,Religious Group (v5),,1936,2013,86,51,Casey Collins,2015-02-04 05:47:04.645 +0100,2017-11-17 14:55:22.571 +0100,Database of Religious History (DRH)
