Entry ID,Entry Name,Original Code,Suggested Code,Simplified Code,Notes
1025,Dalikal Ppo Klaong Garai,uncoded,"chiefdom, colony, state",state,
1028,German Pietists (Hasidei Ashkenaz),other,colony,empire,
1039,(Archaeology of) Religion in New Kingdom Nubia,other,colony,empire,
1042,Zichiji 資持記,uncoded,"chiefdom, empire",empire,
1049,Chalcolithic Southern Levant,uncoded,leave uncoded,uncoded,
1055,Taijitu shuo 太極圖說,uncoded,"chiefdom, empire, state",empire,
1058,Syŏnggyŏng chikhae kwang-ik,uncoded,"chiefdom, state",state,confirmed
1071,Digital Shinto Communities,other,"unsure, leave as 'other'",other,
1075,Dazhidu lun 大智度論,uncoded,"unsure, leave uncoded",uncoded,
1079,Tongshu 通書,uncoded,"chiefdom, empire, state",empire,
1080,Cheng weishi lun 成唯識論,uncoded,"chiefdom, empire",empire,email delivery failed
1095,Punjabi (West),other,state,state,
1098,Shuzi gua excavated material,uncoded,"chiefdom, empire",chiefdom,confirmed
1108,Early Christianity and Monasticism in Egypt,other,colony,empire,awaiting followup
1112,Xifang Helun 西方合論,uncoded,"chiefdom, empire",empire,confirmed
1120,Liji 禮記,uncoded,"chiefdom, empire",empire,
1129,Ancient Thessalians,other,keep as 'other',other,confirmed
1133,Religion in Greco-Roman Egypt,uncoded,"chiefdom, empire",empire,
1156,Solovetski monastery,other,chiefdom,chiefdom,
1160,Wuzhen pian 悟真篇,uncoded,"chiefdom, empire",empire,
1170,Chongyang Lijiao Shiwu Lun 重陽立教十五論,uncoded,"chiefdom, empire, state",empire,
1175,Religion in Northern Hejaz,other,empire,empire,
1178,Modern Mystery School (MMS),other,state,state,
1182,Huainanzi 淮南子,uncoded,"chiefdom, empire",empire,
1188,Marmarini Stele,uncoded,"unsure, leave uncoded",uncoded,
1203,Book(s) of Daniel,uncoded,"colony, chiefdom",chiefdom,
1224,Duren jing,uncoded,empire,empire,confirmed
1239,Book(s) of Esther,uncoded,"unsure, leave uncoded",uncoded,
1243,Shengjing zhijie,uncoded,"chiefdom, empire",empire,
1250,Hanbalism,other,empire,empire,
1252,Shedachenglun 攝大乘論,uncoded,"chiefdom, empire",empire,confirmed
1253,Damascus Document,uncoded,"empire, colony",empire,
1255,Julian Romance,uncoded,colony,state,
1257,Ammonite Religion,other,chiefdom,chiefdom,confirmed
1260,Qiṣṣat Dhī al-Qarnayn,uncoded,chiefdom,chiefdom,
1263,Judean/Yehudite Colony at Elephantine (Persian period),other,colony,chiefdom,
1264,Judeans in Babylonia,other,colony,empire,awaiting followup
1265,Mozi 墨子,uncoded,"chiefdom, state",state,confirmed
1269,Ji shenzhou sanbao gantong lu 集神州三寶感通錄,uncoded,"chiefdom, empire",empire,
1270,The Zhuangzi,uncoded,"chiefdom, empire",empire,email delivery failed
1283,Butonese Muslims,other,"chiefdom, colony, state",state,
1288,Bailadeiras of Goa,other,empire,empire,
1289,Buginese Muslims,other,"chiefdom, colony, state",state,
1290,4QInstruction,uncoded,empire,empire,confirmed
1293,The Zapotec or Ben 'Zaa (The Cloud People),other,"unsure, leave as 'other'",other,
1303,Emar: A Hittite Vassal in Late Bronze Age Syria,other,colony,other,confirmed
1306,Philistine Religion,other,leave as 'other',other,confirmed
1307,Southern Baptists,other,"state, empire",state,
1308,Jews and Jewish-Sympathizers in South Arabia,other,"chiefdom, empire",empire,email delivery failed
1311,Jehovah's Witnesses,other,state,state,confirmed
1319,Reginistas,other,state,state,email delivery failed
1329,Pre-Pottery Neolithic in the Near East,other,"unsure, leave uncoded",uncoded,
1330,Papyrus Amherst 63,uncoded,colony,empire,confirmed
1333,Cult of Thecla,other,"state, empire",empire,
1342,Pauline Epistles,uncoded,"unsure, leave uncoded",uncoded,
1344,Tibetan Nonsectarianism (ris med),other,state,state,
1345,A Sogdian Zoroastrian Prayer,uncoded,colony,uncoded,confirmed
1347,"The Praise of the Bees, Exultet Hymn",uncoded,"chiefdom, colony",chiefdom,email delivery failed
1348,Disability-focused Christianity for Palestinians,other,state,state,duplicate entry with 915?
1352,Śākadvīpīya Brāhmaṇas,other,keep as 'other',other,confirmed
1356,The Lausiac History,uncoded,"unsure, leave uncoded",uncoded,
1367,Targums,uncoded,"unsure, leave uncoded",uncoded,
1375,Epic of Gilgamesh,uncoded,"unsure, leave uncoded",uncoded,
1376,African Initiated Churches,other,state,state,
1389,Writ of the Three Sovereigns,uncoded,"chiefdom, empire",empire,
1392,Messalians,other,empire,empire,
1393,The Ladder of Divine Ascent,uncoded,colony,empire,
1397,The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult,other,keep as 'other',other,confirmed
1401,"The ""On the Divine Names"" of Pseudo Denys the Areopagite",uncoded,colony,empire,
1405,Asketikon,uncoded,"unsure, keep uncodedd",uncoded,
1418,Book of Jonah,uncoded,colony,empire,
1422,Defense of Icon Veneration by John of Damascus,uncoded,"requests ""spiritual elect""",spiritual elect,confirmed
1424,Santian neijie jing 三天內解經,uncoded,"chiefdom, empire",empire,confirmed
1427,The Chaldaean Oracles,uncoded,"unsure, keep uncodedd",uncoded,
1431,Elements of Theology,uncoded,colony,empire,
1442,On the Body and Blood of the Lord (De corpore et sanguine Domini) - Paschasius Radbertus,uncoded,"unsure, leave uncoded",uncoded,
1443,On the Body and Blood of the Lord (De corpore et sanguine Domini) - Lanfranc of Canterbury,uncoded,"unsure, leave uncoded",uncoded,
1451,Religion in the Early Bronze Age / Canaan,other,"unsure, leave as 'other'",other,confirmed
1456,Religion in the Middle Bronze Age / Canaan,other,state,state,confirmed
1469,Huamachuco Religion,other,empire,empire,yes (says he already changed it)
1471,Book of Ezekiel,uncoded,colony,empire,
1495,Secular Buddhists,other,state,state,
1509,The Temple Scroll,uncoded,keep uncoded,uncoded,confirmed
1513,Imrā’atu-nā fī l-šarīʻa wa-l-muŷtamaʻ / امرأتنا في الشريعة والمجتمع,uncoded,colony,state,
1520,Kitāb al-Khilāf fῑ al-Aḥkām by Al-Shaykh al-Ṭūsī,uncoded,colony,empire,
1521,Order of the Hermits of St Augustine (Augustinian friars),other,state,state,
1522,Tijaniyya Tariqa الطريقة التجانية,other,"colony, state",state,
1535,الجمعية الخيرية الإسلامية بمدينة سوق الأربعاء,other,"colony, state",state,
1539,Maqāṣid al-šarī῾a al-islāmiyya,uncoded,state,state,
1540,The Sanskrit Yasna,uncoded,keep as 'other',other,confirmed
1542,Umbanda,other,state,state,confirmed
1546,4QPseudo Ezekiel,uncoded,other,other,confirmed
1549,Slaying of Husayn Texts,uncoded,colony,empire,
1551,Donation Texts from Ur during the Isin-Larsa Period,uncoded,"unsure, leave uncoded",uncoded,
1552,The Key of Ilme Kṣnum to Understand the Zoroastrian Religion,uncoded,state,state,confirmed
1554,"Mustafa Sabri, Mawqif al-ʿAql",uncoded,state,state,
1559,Al-manhaj al-farîd fî ma'rifat 'ilm al-tawhîd.,uncoded,"unsure, leave uncoded",uncoded,
1573,Al-Risala (The Message) الرسالة,uncoded,empire,empire,
1576,Book of Amos,uncoded,"chiefdom, colony",chiefdom,
1582,Cult of Bona Dea,other,empire,empire,
1588,In the Shade of the Qur'an في ظلال القرآن,uncoded,state,state,
1589,Peshitta,uncoded,colony,empire,
1595,The Five Yi Yin Texts,uncoded,"chiefdom, empire",chiefdom,confirmed
1613,The Pagoda-Shaped Diamond Sutra Shroud,uncoded,"chiefdom, empire",empire,
1614,Tabaqat as-Sufiyya de as-Sulami طبقات الصوفيّة للسّلمي,uncoded,"colony, state",state,confirmed
1615,Teuchitlan Tradition,other,chiefdom,chiefdom,
1625,Zhu Xi's Four Books 朱熹四書,uncoded,"chiefdom, empire, state",empire,
1626,The Cult of Maritime Hera,other,empire,empire,awaiting followup
1628,Bad' al-Khalq wa Qasas al-Anbiya' of Kisa'i كتاب بدء الخلق وقصص الأنبياء للكسائي,uncoded,"colony, state",state,
1631,Le livre de 'Ihya' 'ulum ad-Din de Ghazali كتاب إحياء علوم الدين للغزالي,uncoded,state,state,confirmed
1639,Hujjat Allāh al-Bāligha,uncoded,empire,empire,
1642,جامع المسندالصحيح المختصر من أمور رسول الله وسننه وأيامه= Al-Jami' al-Musnad al-Sahih al-Mukthasar Min Umur Rasul Allah...,uncoded,"colony, state",state,confirmed
1644,صحيح مسلم Sahih Muslim,uncoded,"empire, colony, state",state,confirmed
1645,A Sogdian Zoroastrian Epitaph,uncoded,colony,empire,confirmed
1650,"كتاب"" المقدّمة ""لابن  خلدون livre  Mou qaddîma d'Abd Al Rahman Ibn Khaldoun",uncoded,state,state,confirmed
1652,Le Livre de al-'Ibana 'an 'Usul al-Diyana de al-Ash'ari كتاب الإبانة عن أصول الديانة للأشعري,uncoded,empire,empire,
1657,The Institutes of John Cassian,uncoded,colony,empire,
1659,The Conferences of John Cassian,uncoded,colony,empire,
1661,Ludlul Bel Nemeqi,uncoded,chiefdom,chiefdom,
1662,The miracles of Eric IV Ploughpenny,uncoded,"chiefdom, empire",chiefdom,confirmed
1664,The Didache,uncoded,colony,empire,
1674,New Hampshire Declaration of Faith,uncoded,"state, empire",state,confirmed
1678,Translation of the holy Margrethe,uncoded,"chiefdom, empire",chiefdom,confirmed
1683,Book of Leviticus,uncoded,leave as 'other',other,
1686,L'islam et les origines de la gouvernance Ali Abdel Razek الإسلام وأصول الحكم علي عبد الرازق,uncoded,state,state,
1692,The holy Niels of Århus (younger text),uncoded,"chiefdom, empire",chiefdom,confirmed
1700,The Book of Hosea,uncoded,"chiefdom, empire, colony",chiefdom,confirmed
1705,The Historia Compostellana,uncoded,leave as 'other',other,confirmed
1714,Syncretic Polytheism in Curious Pastimes LARP,other,"state, empire",state,
1721,Tell Fekheriyeh Inscription,uncoded,empire,empire,awaiting followup
1723,The holy Niels of Århus (older text),uncoded,"chiefdom, empire",chiefdom,confirmed
1725,The holy Anders of Slagelse,uncoded,"chiefdom, empire",chiefdom,confirmed
1734,Cupisnique Culture Religion,other,tribe,tribe,says he already changed it
1740,The Canterbury School of Theodore of Tarsus and Hadrian the North African,other,tribe,tribe,confirmed
1751,The holy Kjeld of Viborg (older text),uncoded,"chiefdom, empire",chiefdom,confirmed
1767,Bhairavapadmāvatīkalpa,uncoded,empire,empire,
177,Jesus movement,uncoded,colony,empire,
1770,Bhūtaḍāmaratantra (Buddhist),uncoded,empire,empire,
1774,إباضية جزيرة جربة,other,colony,empire,
1778,Le Conflit d'Adam et Eve contre Satan ou The first and the Second hidden book of Adam and Eve صراع آدم وحوّاء ضدّ الشيطان,uncoded,"empire, colony",empire,
1779,المذهب المالكي بالبلاد التونسية,other,"unsure, leave uncoded",uncoded,
178,Ancestral Cult of the Han,uncoded,"chiefdom, empire",empire,
1781,المذهب الشيعي في تونس,other,state,state,
1783,The holy Kjeld of Viborg (younger text),uncoded,"chiefdom, empire",chiefdom,confirmed
