iso_a3,Country,World.Region
AND,Andorra,Europe
AUT,Austria,Europe
BEL,Belgium,Europe
CHE,Switzerland,Europe
DEU,Germany,Europe
FRA,France,Europe
LIE,Liechtenstein,Europe
LUX,Luxembourg,Europe
MCO,Monaco,Europe
NLD,Netherlands,Europe
DNK,Denmark,Europe
EST,Estonia,Europe
FIN,Finland,Europe
FRO,Faroe Islands,Europe
GBR,United Kingdom,Europe
GGY,Guernsey,Europe
GRL,Greenland,Europe
IMN,Isle of Man,Europe
IRL,Ireland,Europe
ISL,Iceland,Europe
JEY,Jersey,Europe
LTU,Lithuania,Europe
LVA,Latvia,Europe
NOR,Norway,Europe
SWE,Sweden,Europe
BGR,Bulgaria,Europe
BLR,Belarus,Europe
CZE,Czech Republic,Europe
HUN,Hungary,Europe
MDA,Moldova,Europe
POL,Poland,Europe
ROU,Romania,Europe
SVK,Slovakia,Europe
UKR,Ukraine,Europe
ALB,Albania,Europe
BIH,Bosnia and Herzegovina,Europe
CYP,Cyprus,Europe
ESP,Spain,Europe
GIB,Gibraltar,Europe
GRC,Greece,Europe
HRV,Croatia,Europe
ITA,Italy,Europe
KOS,Kosovo,Europe
MKD,Macedonia,Europe
MLT,Malta,Europe
MNE,Montenegro,Europe
PRT,Portugal,Europe
SMR,San Marino,Europe
SRB,Serbia,Europe
SVN,Slovenia,Europe
ALA,Aland,Europe
VAT,Vatican,Europe
BEN,Benin,Africa
BFA,Burkina Faso,Africa
CIV,Ivory Coast,Africa
CPV,Cape Verde,Africa
GHA,Ghana,Africa
GIN,Guinea,Africa
GMB,The Gambia,Africa
GNB,Guinea Bissau,Africa
LBR,Liberia,Africa
MLI,Mali,Africa
MRT,Mauritania,Africa
NER,Niger,Africa
NGA,Nigeria,Africa
SEN,Senegal,Africa
SLE,Sierra Leone,Africa
TGO,Togo,Africa
DZA,Algeria,Africa
EGY,Egypt,Africa
LBY,Libya,Africa
MAR,Morocco,Africa
ESH,Western Sahara,Africa
SDN,Sudan,Africa
TUN,Tunisia,Africa
BDI,Burundi,Africa
COM,Comoros,Africa
DJI,Djibouti,Africa
ERI,Eritrea,Africa
ETH,Ethiopia,Africa
REU,Réunion,Africa
MYT,Mayotte,Africa
KEN,Kenya,Africa
MDG,Madagascar,Africa
MOZ,Mozambique,Africa
MUS,Mauritius,Africa
MWI,Malawi,Africa
RWA,Rwanda,Africa
SOM,Somalia,Africa
SYC,Seychelles,Africa
TZA,Tanzania,Africa
UGA,Uganda,Africa
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
ATF,French Southern and Antarctic Lands,Africa
BWA,Botswana,Africa
HMD,Heard Island and McDonald Islands,Africa
LSO,Lesotho,Africa
NAM,Namibia,Africa
SHN,Saint Helena,Africa
SWZ,Swaziland,Africa
ZAF,South Africa,Africa
AGO,Angola,Africa
CAF,Central African Republic,Africa
CMR,Cameroon,Africa
COD,Democratic Republic of the Congo,Africa
COG,Republic of Congo,Africa
GAB,Gabon,Africa
GNQ,Equatorial Guinea,Africa
STP,Sao Tome and Principe,Africa
TCD,Chad,Africa
SSD,South Sudan,Africa
ARG,Argentina,South America
BOL,Bolivia,South America
